particle,length
416,0.0274354
417,0.0762868
418,0.238472
419,0.0549164
420,0.0150254
421,0.0296406
422,0.162964
423,0.13236
424,0.0241124
425,0.0247695
426,0.0191879
427,0.134444
428,0.0948842
429,0.0149783
430,0.0278544
431,0.0887553
432,0.024494
433,0.0239701
434,0.0145769
435,0.0809169
436,0.027076
437,0.0159059
438,0.0150061
439,0.226751
440,0.0242335
441,0.024579
442,0.0264747
443,0.0243997
444,0.015866
445,0.0243074
446,0.0152026
447,0.0338248
448,0.0238742
449,0.0709225
450,0.0684927
451,0.177361
452,0.194517
453,0.0145373
454,0.0146916
455,0.109388
456,0.0850663
457,0.152381
458,0.0178663
459,0.114002
460,0.0203768
461,0.385668
462,0.0244365
463,0.0148767
464,0.647401
465,0.0563193
466,0.270792
467,0.0245736
468,0.0156256
469,0.018305
470,0.0548105
471,0.0172009
472,0.149996
473,0.106119
474,0.0199495
475,0.0144698
476,0.0152284
477,0.0155638
478,0.149265
479,0.0146028
480,0.0203197
481,0.112148
482,0.0145656
483,1.26674
484,0.0154292
485,0.0146429
486,0.016413
487,0.105669
488,0.0180977
489,0.024412
490,0.635922
491,0.142307
492,0.624322
493,0.0171073
494,0.168393
495,0.0734877
496,0.025942
497,0.0244538
498,0.0246358
499,0.0809324
500,0.0162181
501,0.0695521
502,0.104833
503,0.059609
504,0.0699231
505,0.0173358
506,0.0267569
507,0.024171
508,0.0145612
509,0.0178628
510,0.0144858
511,0.0558319
512,0.02247
513,0.0184718
514,0.0155225
515,0.0657625
516,0.501376
517,0.144307
518,0.149905
519,0.244844
520,0.0248504
521,0.0263892
522,0.026871
523,0.0156515
524,0.026373
525,0.015789
526,0.0243103
527,0.014954
528,0.0248682
529,0.0780798
530,0.114887
531,0.0187668
532,0.118128
533,0.515354
534,0.147075
535,0.0243291
536,0.619067
537,0.0762973
538,0.0566681
539,0.0184794
540,0.0172563
541,0.0156426
542,0.0565346
543,0.0750965
544,0.0147907
545,0.136495
546,0.0277386
547,0.026057
548,0.0251619
549,0.02457
550,0.145722
551,0.024375
552,0.0773711
553,0.0627834
554,0.382697
555,0.0771922
556,0.0256087
557,0.0684538
558,0.0146267
559,0.206617
560,0.0144971
561,0.0631807
562,0.0241242
563,0.333109
564,0.0768264
565,0.732128
566,0.0600721
567,0.0674076
568,0.0246327
569,0.0272139
570,0.0156049
571,0.0613875
572,0.352432
573,0.383473
574,0.0147789
575,0.0246953
576,0.0258414
577,0.0244232
578,0.0778161
579,0.0146065
580,0.0194548
581,0.0554036
582,0.0242888
583,0.0154329
584,0.015562
585,0.017724
586,0.0243634
587,0.0244369
588,0.0158888
589,0.0201588
590,0.0173383
591,0.924347
592,0.0682227
593,0.364033
594,0.0146622
595,0.110724
596,0.0149772
597,0.116061
598,0.0247331
599,0.0700193
600,0.0244703
601,0.0173855
602,0.110811
603,0.0946913
604,0.016275
605,0.0150186
606,0.0764808
607,0.0171023
608,0.0152399
609,0.0172646
610,0.108857
611,0.0180275
612,0.0202565
613,0.028043
614,0.0180556
615,0.0258767
616,0.104926
617,0.020365
618,0.383199
619,0.323829
620,0.158107
621,0.0244938
622,0.0247143
623,0.0690557
624,0.0245231
625,0.0766977
626,0.15346
627,0.114434
628,0.0672997
629,0.0678725
630,0.0203418
631,0.060952
632,0.124062
633,0.0148967
634,0.292405
635,0.0689354
636,0.0146366
637,0.901152
638,0.0157067
639,0.0945455
640,0.0177425
641,0.0148317
642,0.115763
643,0.0746954
644,0.0253418
645,0.0254685
646,0.542037
647,0.0147524
648,0.0151558
649,0.0145251
650,0.159207
651,0.0148765
652,0.0156686
653,0.0209745
654,0.0147708
655,0.0753596
656,0.0667845
657,0.0147984
658,0.0224353
659,0.0154196
660,0.0841685
661,0.205469
662,0.0995942
663,0.0610729
664,0.527156
665,0.159551
666,0.0750576
667,0.106269
668,0.01583
669,0.0648835
670,0.103445
671,0.0160829
672,0.0171495
673,0.0754005
674,0.0243647
675,0.0147938
676,0.109376
677,0.113692
678,0.0155434
679,0.024382
680,0.0626961
681,0.0243137
682,0.0145866
683,0.234344
684,0.0629496
685,0.146776
686,0.543728
687,0.0200704
688,0.022758
689,0.229727
690,0.0229918
691,0.258962
692,0.0618774
693,0.0153251
694,0.0243779
695,0.0150114
696,0.0661104
697,0.0244672
698,0.0146238
699,0.0246857
700,0.0147264
701,0.0715355
702,0.0642919
703,0.0762217
704,0.107806
705,0.0243679
706,0.0284139
707,0.0152543
708,0.219051
709,0.0161909
710,0.11503
711,0.0149336
712,0.0264072
713,0.0188904
714,0.167145
715,0.0243181
716,0.0244631
717,0.0228773
718,0.02435
719,0.619099
720,0.0161406
721,0.110943
722,0.157952
723,0.0833947
724,0.0150571
725,0.190171
726,0.0616711
727,0.0302198
728,0.0243508
729,0.0700599
730,0.024923
731,0.0314768
732,0.0747616
733,0.130053
734,0.0156198
735,0.101581
736,0.592771
737,0.194785
738,0.0154433
739,0.0248476
740,0.0146936
741,0.0178513
742,0.0223878
743,0.980007
744,0.0216884
745,0.0150676
746,0.024475
747,0.0689415
748,0.0180378
749,0.0245901
750,0.211283
751,0.193977
752,0.0244988
753,0.0244144
754,0.118781
755,0.0642766
756,0.0593977
757,0.140709
758,0.104075
759,0.110805
760,0.132227
761,0.0187952
762,0.678108
763,0.0245039
764,0.0265637
765,0.0275889
766,0.103923
767,0.0190417
768,0.197954
769,0.249437
770,0.110466
771,0.0178783
772,0.014824
773,0.0713769
774,0.0795997
775,0.0149232
776,0.0727762
777,0.0153325
778,0.108562
779,0.0247835
780,0.0694114
781,0.109395
782,0.0569663
783,0.0246574
784,0.0267908
785,0.0715045
786,0.01513
787,0.0152489
788,0.0596464
789,0.115794
790,0.0154912
791,0.0743466
792,0.0717238
793,0.145944
794,0.0255793
795,0.0151696
796,0.0588839
797,0.0612625
798,0.162033
799,0.119658
800,0.195851
801,0.0246739
802,0.224896
803,0.0241659
804,0.0154294
805,0.104374
806,0.0203325
807,0.159947
808,0.0243155
809,0.0243528
810,0.100896
811,0.106069
812,0.0249584
813,0.0261077
814,0.139
815,0.024501
816,0.810456
817,0.0906118
818,0.107257
819,0.0624186
820,0.104152
821,0.0176126
822,0.0704105
823,0.0162168
824,0.0555769
825,0.102023
826,0.142801
827,0.0622312
828,0.0885055
829,0.014602
830,0.0155967
831,0.123803
832,0.0149117
833,0.0264999
834,0.0674606
835,0.0252122
836,0.024577
837,0.0660533
838,0.108241
839,0.446893
840,0.0690129
841,0.075958
842,0.0147687
843,0.075139
844,0.0159046
845,0.0586314
846,0.105391
847,0.275778
848,0.025264
849,0.0156127
850,0.296966
851,0.0244624
852,0.0248261
853,0.0687765
854,0.0790676
855,0.0146719
856,0.0245297
857,0.175053
858,0.0177366
859,0.0687188
860,0.0154759
861,0.0647622
862,0.190401
863,0.111029
864,0.124754
865,0.148942
866,0.178963
867,0.0146557
868,0.0247726
869,0.0559683
870,0.0605109
871,0.0147272
872,0.0705842
873,0.0674647
874,0.01458
875,0.653805
876,0.0158753
877,0.0151491
878,0.0190147
879,0.0951851
880,0.0243899
881,0.0159352
882,0.0145779
883,0.0696215
884,0.0798962
885,0.0150262
886,0.0157552
887,0.132397
888,0.0242969
889,0.0217041
890,0.0147616
891,0.966461
892,0.151815
893,0.0244523
894,0.108448
895,0.329691
896,0.725854
897,0.0152609
898,0.0249715
899,0.109137
900,0.01744
901,0.0218821
902,0.553783
903,0.358026
904,0.190772
905,0.0261529
906,0.0733875
907,0.0177072
908,0.144666
909,0.074769
910,0.020995
911,0.0144998
912,0.109011
913,0.0556
914,0.0226788
915,0.0
916,0.484975
917,0.0145898
918,0.0272084
919,0.0172025
920,0.0658978
921,0.0255917
922,0.0267995
923,0.133448
924,0.0247325
925,0.380355
926,0.0249632
927,0.0735731
928,0.0153033
929,0.0258064
930,0.0188638
931,0.0671165
932,0.017456
933,0.0153524
934,0.0246137
935,0.0652682
936,0.0243325
937,0.0278151
938,0.0820267
939,0.0249308
940,0.0155142
941,0.0246277
942,0.0687419
943,0.0247473
944,0.0245503
945,0.690178
946,0.0176502
