# iteration    r (m)    potential (V)
         1         0.0387       -10.2133
         1          0.039       -10.0164
         1         0.0393       -9.82688
         1         0.0396       -9.64458
         1         0.0399       -9.46945
         1         0.0402       -9.30143
         1         0.0405       -9.14048
         1         0.0408       -8.98654
         1         0.0411       -8.83955
         1         0.0414       -8.69946
         1         0.0417       -8.56622
         1          0.042       -8.43978
         1         0.0423        -8.3201
         1         0.0426       -8.20714
         1         0.0429       -8.10085
         1         0.0432        -8.0012
         1         0.0435       -7.90815
         1         0.0438       -7.82166
         1         0.0441        -7.7417
         1         0.0444       -7.66824
         1         0.0447       -7.60126
         1          0.045       -7.54074
         1         0.0453       -7.48664
         1         0.0456       -7.43895
         1         0.0459       -7.39766
         1         0.0462       -7.36274
         1         0.0465       -7.33418
         1         0.0468       -7.31198
         1         0.0471       -7.29612
         1         0.0474       -7.28661
         1         0.0477       -7.28342
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03              0
         2        -0.0297       -5.51658
         2        -0.0294        -16.873
         2        -0.0291       -28.3575
         2        -0.0288       -39.9213
         2        -0.0285        -51.536
         2        -0.0282       -63.1773
         2        -0.0279       -74.8205
         2        -0.0276       -86.4396
         2        -0.0273        -98.006
         2         -0.027       -109.488
         2        -0.0267        -120.85
         2        -0.0264       -132.052
         2        -0.0261       -143.049
         2        -0.0258       -153.789
         2        -0.0255       -164.214
         2        -0.0252       -174.254
         2        -0.0249       -183.829
         2        -0.0246       -192.843
         2        -0.0243       -201.186
         2         -0.024       -208.721
         2        -0.0237       -215.283
         2        -0.0234       -220.671
         2        -0.0231       -224.633
         2        -0.0228       -226.845
         2        -0.0225       -226.894
         2        -0.0222       -224.228
         2        -0.0219       -218.094
         2        -0.0216       -207.432
         2        -0.0213        -190.68
         2         -0.021        -165.41
         2        -0.0207        -127.59
         2        -0.0204       -69.9036
         2        -0.0201              0
         2        -0.0198              0
         2        -0.0195              0
         2        -0.0192       -18.6573
         2        -0.0189       -184.248
         2        -0.0186       -309.649
         2        -0.0183       -413.467
         2         -0.018       -504.303
         2        -0.0177       -586.682
         2        -0.0174       -663.233
         2        -0.0171       -735.608
         2        -0.0168       -804.901
         2        -0.0165       -871.875
         2        -0.0162       -937.074
         2        -0.0159        -1000.9
         2        -0.0156       -1063.65
         2        -0.0153       -1125.54
         2         -0.015       -1186.74
         2        -0.0147       -1247.37
         2        -0.0144       -1307.51
         2        -0.0141       -1367.21
         2        -0.0138       -1426.48
         2        -0.0135       -1485.33
         2        -0.0132       -1543.71
         2        -0.0129       -1601.56
         2        -0.0126       -1658.79
         2        -0.0123        -1715.3
         2         -0.012       -1770.91
         2        -0.0117       -1825.45
         2        -0.0114       -1878.69
         2        -0.0111       -1930.35
         2        -0.0108        -1980.1
         2        -0.0105       -2027.54
         2        -0.0102       -2072.22
         2        -0.0099       -2113.56
         2        -0.0096       -2150.91
         2        -0.0093       -2183.46
         2         -0.009       -2210.25
         2        -0.0087       -2230.13
         2        -0.0084        -2241.7
         2        -0.0081       -2243.24
         2        -0.0078       -2232.68
         2        -0.0075       -2207.41
         2        -0.0072        -2164.2
         2        -0.0069       -2099.01
         2        -0.0066       -2006.67
         2        -0.0063       -1880.54
         2         -0.006       -1711.97
         2        -0.0057        -1489.3
         2        -0.0054       -1195.15
         2        -0.0051          -1000
         2        -0.0048          -1000
         2        -0.0045          -1000
         2        -0.0042       -1029.02
         2        -0.0039       -1220.18
         2        -0.0036       -1384.54
         2        -0.0033       -1521.89
         2         -0.003       -1633.33
         2        -0.0027        -1721.1
         2        -0.0024       -1787.94
         2        -0.0021       -1836.81
         2        -0.0018       -1870.69
         2        -0.0015       -1892.48
         2        -0.0012          -1905
         2        -0.0009       -1910.81
         2        -0.0006       -1912.22
         2        -0.0003       -1911.15
         2              0       -1909.04
         2         0.0003       -1906.79
         2         0.0006       -1904.69
         2         0.0009       -1902.43
         2         0.0012       -1899.09
         2         0.0015       -1893.22
         2         0.0018        -1882.9
         2         0.0021       -1865.83
         2         0.0024       -1839.41
         2         0.0027       -1800.85
         2          0.003       -1747.21
         2         0.0033       -1675.51
         2         0.0036        -1582.8
         2         0.0039       -1466.43
         2         0.0042       -1324.39
         2         0.0045       -1156.02
         2         0.0048          -1000
         2         0.0051          -1000
         2         0.0054          -1000
         2         0.0057          -1000
         2          0.006       -1289.05
         2         0.0063       -1547.07
         2         0.0066       -1742.47
         2         0.0069       -1889.63
         2         0.0072       -1998.83
         2         0.0075       -2077.79
         2         0.0078       -2132.48
         2         0.0081       -2167.52
         2         0.0084       -2186.58
         2         0.0087       -2192.54
         2          0.009       -2187.75
         2         0.0093       -2174.08
         2         0.0096       -2153.06
         2         0.0099       -2125.97
         2         0.0102       -2093.82
         2         0.0105       -2057.48
         2         0.0108       -2017.67
         2         0.0111       -1974.96
         2         0.0114       -1929.86
         2         0.0117       -1882.78
         2          0.012       -1834.06
         2         0.0123       -1783.98
         2         0.0126       -1732.79
         2         0.0129       -1680.67
         2         0.0132       -1627.77
         2         0.0135       -1574.21
         2         0.0138       -1520.08
         2         0.0141       -1465.44
         2         0.0144       -1410.31
         2         0.0147        -1354.7
         2          0.015       -1298.58
         2         0.0153        -1241.9
         2         0.0156       -1184.55
         2         0.0159       -1126.43
         2         0.0162       -1067.35
         2         0.0165       -1007.09
         2         0.0168       -945.339
         2         0.0171        -881.71
         2         0.0174       -815.671
         2         0.0177       -746.501
         2          0.018       -673.194
         2         0.0183       -594.291
         2         0.0186       -507.579
         2         0.0189       -409.481
         2         0.0192       -293.738
         2         0.0195        -148.17
         2         0.0198              0
         2         0.0201              0
         2         0.0204              0
         2         0.0207       -19.0987
         2          0.021       -135.277
         2         0.0213       -213.409
         2         0.0216       -269.308
         2         0.0219       -310.949
         2         0.0222       -342.783
         2         0.0225       -367.517
         2         0.0228       -386.908
         2         0.0231       -402.159
         2         0.0234       -414.127
         2         0.0237       -423.446
         2          0.024       -430.595
         2         0.0243       -435.945
         2         0.0246        -439.79
         2         0.0249       -442.364
         2         0.0252       -443.859
         2         0.0255       -444.434
         2         0.0258        -444.22
         2         0.0261       -443.326
         2         0.0264       -441.846
         2         0.0267       -439.861
         2          0.027       -437.439
         2         0.0273       -434.638
         2         0.0276       -431.511
         2         0.0279       -428.102
         2         0.0282       -424.451
         2         0.0285       -420.593
         2         0.0288       -416.559
         2         0.0291       -412.376
         2         0.0294       -408.068
         2         0.0297       -403.656
         2           0.03       -399.162
         2         0.0303       -394.601
         2         0.0306        -389.99
         2         0.0309       -385.344
         2         0.0312       -380.674
         2         0.0315       -375.993
         2         0.0318        -371.31
         2         0.0321       -366.637
         2         0.0324       -361.981
         2         0.0327        -357.35
         2          0.033       -352.752
         2         0.0333       -348.194
         2         0.0336        -343.68
         2         0.0339       -339.218
         2         0.0342       -334.811
         2         0.0345       -330.465
         2         0.0348       -326.184
         2         0.0351       -321.971
         2         0.0354       -317.831
         2         0.0357       -313.765
         2          0.036       -309.779
         2         0.0363       -305.873
         2         0.0366       -302.051
         2         0.0369       -298.315
         2         0.0372       -294.667
         2         0.0375       -291.109
         2         0.0378       -287.642
         2         0.0381       -284.268
         2         0.0384       -280.989
