# iter      epot diff   scharge diff 
     1        13.6006      8.588e-07 
     2              0    1.19392e-06 
     3              0    1.10471e-06 
     4              0    1.04645e-06 
     5              0    9.44029e-07 
     6              0    1.12622e-06 
     7              0      1.012e-06 
     8              0    1.15926e-06 
     9              0    9.52609e-07 
