# iteration    r (m)    potential (V)
         2        -0.0276       -1171.18
         2        -0.0273       -1184.88
         2         -0.027       -1199.79
         2        -0.0267       -1215.95
         2        -0.0264       -1233.41
         2        -0.0261       -1252.23
         2        -0.0258       -1272.46
         2        -0.0255       -1294.18
         2        -0.0252       -1317.44
         2        -0.0249       -1342.32
         2        -0.0246       -1368.92
         2        -0.0243        -1397.3
         2         -0.024       -1427.57
         2        -0.0237       -1459.84
         2        -0.0234        -1494.2
         2        -0.0231       -1530.77
         2        -0.0228       -1569.68
         2        -0.0225       -1611.06
         2        -0.0222       -1655.05
         2        -0.0219       -1701.79
         2        -0.0216       -1751.45
         2        -0.0213       -1804.18
         2         -0.021       -1860.15
         2        -0.0207       -1919.55
         2        -0.0204       -1982.55
         2        -0.0201       -2049.35
         2        -0.0198       -2120.13
         2        -0.0195       -2195.08
         2        -0.0192       -2274.35
         2        -0.0189       -2358.23
         2        -0.0186       -2446.96
         2        -0.0183       -2540.81
         2         -0.018       -2640.06
         2        -0.0177          -2745
         2        -0.0174       -2855.95
         2        -0.0171       -2973.16
         2        -0.0168       -3097.07
         2        -0.0165       -3227.97
         2        -0.0162       -3366.21
         2        -0.0159       -3512.14
         2        -0.0156       -3666.18
         2        -0.0153       -3828.69
         2         -0.015       -4000.12
         2        -0.0147       -4180.96
         2        -0.0144       -4371.69
         2        -0.0141       -4572.83
         2        -0.0138       -4784.97
         2        -0.0135       -5008.75
         2        -0.0132       -5244.87
         2        -0.0129       -5494.09
         2        -0.0126       -5757.27
         2        -0.0123       -6035.33
         2         -0.012       -6329.31
         2        -0.0117       -6640.37
         2        -0.0114       -6969.79
         2        -0.0111       -7319.05
         2        -0.0108       -7689.83
         2        -0.0105          -8084
         2        -0.0102       -8503.71
         2        -0.0099       -8951.42
         2        -0.0096       -9429.95
         2        -0.0093       -9942.62
         2         -0.009       -10493.3
         2        -0.0087       -11086.4
         2        -0.0084       -11727.5
         2        -0.0081         -12423
         2        -0.0078       -13180.9
         2        -0.0075         -14011
         2        -0.0072       -14925.6
         2        -0.0069       -15940.5
         2        -0.0066       -17076.7
         2        -0.0063       -18362.5
         2         -0.006       -19838.6
         2        -0.0057       -21567.4
         2        -0.0054       -23660.7
         2        -0.0051         -25000
