# iteration    r (m)    potential (V)
         2        -0.0276        -3098.6
         2        -0.0273       -3141.88
         2         -0.027       -3189.06
         2        -0.0267       -3240.25
         2        -0.0264        -3295.7
         2        -0.0261       -3355.56
         2        -0.0258       -3419.96
         2        -0.0255       -3489.12
         2        -0.0252       -3563.33
         2        -0.0249       -3642.85
         2        -0.0246        -3727.9
         2        -0.0243       -3818.86
         2         -0.024       -3916.09
         2        -0.0237       -4019.98
         2        -0.0234       -4130.92
         2        -0.0231       -4249.26
         2        -0.0228       -4375.48
         2        -0.0225       -4510.09
         2        -0.0222       -4653.64
         2        -0.0219       -4806.71
         2        -0.0216       -4969.92
         2        -0.0213       -5144.18
         2         -0.021       -5330.36
         2        -0.0207       -5529.42
         2        -0.0204       -5742.11
         2        -0.0201       -5969.29
         2        -0.0198       -6211.96
         2        -0.0195       -6474.06
         2        -0.0192       -6759.14
         2        -0.0189       -7066.84
         2        -0.0186       -7397.58
         2        -0.0183       -7751.08
         2         -0.018       -8127.81
         2        -0.0177       -8529.07
         2        -0.0174        -8955.4
         2        -0.0171       -9407.39
         2        -0.0168       -9886.19
         2        -0.0165       -10393.2
         2        -0.0162       -10929.7
         2        -0.0159       -11497.2
         2        -0.0156       -12097.3
         2        -0.0153         -12732
         2         -0.015       -13403.4
         2        -0.0147       -14113.2
         2        -0.0144       -14863.4
         2        -0.0141       -15656.5
         2        -0.0138       -16494.8
         2        -0.0135         -17381
         2        -0.0132       -18318.3
         2        -0.0129       -19309.9
         2        -0.0126       -20359.3
         2        -0.0123       -21470.5
         2         -0.012       -22647.8
         2        -0.0117       -23896.4
         2        -0.0114       -25221.7
         2        -0.0111       -26630.1
         2        -0.0108       -28128.9
         2        -0.0105       -29726.6
         2        -0.0102       -31432.8
         2        -0.0099       -33258.5
         2        -0.0096       -35215.8
         2        -0.0093       -37318.1
         2         -0.009       -39580.9
         2        -0.0087       -42022.7
         2        -0.0084         -44666
         2        -0.0081       -47538.4
         2        -0.0078       -50673.5
         2        -0.0075         -54113
         2        -0.0072         -57909
         2        -0.0069       -62128.7
         2        -0.0066       -66860.3
         2        -0.0063       -72223.2
         2         -0.006       -78388.1
         2        -0.0057       -85618.2
         2        -0.0054       -94385.4
         2        -0.0051        -100000
         2        -0.0048        -100000
         2        -0.0045        -100000
         2        -0.0042       -99748.1
         2        -0.0039       -98090.2
         2        -0.0036       -96661.4
         2        -0.0033       -95456.4
         2         -0.003       -94459.6
         2        -0.0027         -93647
         2        -0.0024       -92993.4
         2        -0.0021       -92473.7
         2        -0.0018       -92064.3
         2        -0.0015       -91743.2
         2        -0.0012       -91493.9
         2        -0.0009       -91301.9
         2        -0.0006       -91155.2
         2        -0.0003       -91046.6
         2              0         -90979
         2         0.0003       -90962.2
         2         0.0006         -90995
         2         0.0009       -91077.5
         2         0.0012       -91198.9
         2         0.0015       -91360.5
         2         0.0018       -91570.4
         2         0.0021       -91842.5
