# iteration    r (m)    potential (V)
         1        -0.0315       -738.223
         1        -0.0312       -738.589
         1        -0.0309       -739.685
         1        -0.0306       -741.517
         1        -0.0303       -744.088
         1          -0.03       -747.406
         1        -0.0297       -751.481
         1        -0.0294       -756.324
         1        -0.0291        -761.95
         1        -0.0288       -768.376
         1        -0.0285       -775.619
         1        -0.0282       -783.702
         1        -0.0279        -792.65
         1        -0.0276       -802.488
         1        -0.0273       -813.248
         1         -0.027       -824.961
         1        -0.0267       -837.665
         1        -0.0264       -851.398
         1        -0.0261       -866.204
         1        -0.0258       -882.131
         1        -0.0255       -899.229
         1        -0.0252       -917.555
         1        -0.0249       -937.169
         1        -0.0246       -958.137
         1        -0.0243       -980.529
         1         -0.024       -1004.42
         1        -0.0237        -1029.9
         1        -0.0234       -1057.04
         1        -0.0231       -1085.94
         1        -0.0228       -1116.71
         1        -0.0225       -1149.44
         1        -0.0222       -1184.25
         1        -0.0219       -1221.27
         1        -0.0216        -1260.6
         1        -0.0213        -1302.4
         1         -0.021        -1346.8
         1        -0.0207       -1393.95
         1        -0.0204          -1444
         1        -0.0201       -1497.13
         1        -0.0198        -1553.5
         1        -0.0195       -1613.29
         1        -0.0192       -1676.69
         1        -0.0189       -1743.89
         1        -0.0186        -1815.1
         1        -0.0183       -1890.52
         1         -0.018       -1970.37
         1        -0.0177       -2054.88
         1        -0.0174       -2144.28
         1        -0.0171        -2238.8
         1        -0.0168       -2338.71
         1        -0.0165       -2444.27
         1        -0.0162       -2555.76
         1        -0.0159       -2673.46
         1        -0.0156       -2797.68
         1        -0.0153       -2928.76
         1         -0.015       -3067.03
         1        -0.0147       -3212.87
         1        -0.0144       -3366.67
         1        -0.0141       -3528.88
         1        -0.0138       -3699.96
         1        -0.0135       -3880.42
         1        -0.0132       -4070.82
         1        -0.0129       -4271.77
         1        -0.0126       -4483.97
         1        -0.0123       -4708.16
         1         -0.012       -4945.17
         1        -0.0117       -5195.96
         1        -0.0114       -5461.57
