# iteration    r (m)    potential (V)
         1         0.0384       -208.741
         1         0.0387       -204.677
         1          0.039        -200.76
         1         0.0393       -196.989
         1         0.0396       -193.363
         1         0.0399        -189.88
         1         0.0402       -186.539
         1         0.0405        -183.34
         1         0.0408       -180.281
         1         0.0411        -177.36
         1         0.0414       -174.577
         1         0.0417        -171.93
         1          0.042       -169.418
         1         0.0423        -167.04
         1         0.0426       -164.796
         1         0.0429       -162.684
         1         0.0432       -160.704
         1         0.0435       -158.855
         1         0.0438       -157.137
         1         0.0441       -155.548
         1         0.0444       -154.089
         1         0.0447       -152.758
         1          0.045       -151.556
         1         0.0453       -150.481
         1         0.0456       -149.534
         1         0.0459       -148.714
         1         0.0462       -148.021
         1         0.0465       -147.453
         1         0.0468       -147.012
         1         0.0471       -146.697
         1         0.0474       -146.508
         1         0.0477       -146.445
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03              0
         2        -0.0297       -7.90139
         2        -0.0294       -24.1716
         2        -0.0291       -40.6436
         2        -0.0288       -57.2609
         2        -0.0285       -73.9958
         2        -0.0282       -90.8272
         2        -0.0279       -107.734
         2        -0.0276       -124.692
         2        -0.0273       -141.675
         2         -0.027       -158.652
         2        -0.0267       -175.584
         2        -0.0264       -192.428
         2        -0.0261       -209.132
         2        -0.0258       -225.633
         2        -0.0255       -241.854
         2        -0.0252       -257.706
         2        -0.0249       -273.078
         2        -0.0246       -287.835
         2        -0.0243       -301.814
         2         -0.024        -314.81
         2        -0.0237        -326.57
         2        -0.0234       -336.772
         2        -0.0231        -345.01
         2        -0.0228       -350.754
         2        -0.0225       -353.308
         2        -0.0222       -351.736
         2        -0.0219       -344.749
         2        -0.0216       -330.511
         2        -0.0213       -306.306
         2         -0.021       -267.909
         2        -0.0207       -208.323
         2        -0.0204       -114.977
         2        -0.0201              0
         2        -0.0198              0
         2        -0.0195              0
         2        -0.0192       -36.5794
         2        -0.0189       -364.898
         2        -0.0186       -618.109
         2        -0.0183       -832.236
         2         -0.018       -1023.97
         2        -0.0177       -1202.17
         2        -0.0174       -1372.04
         2        -0.0171       -1536.94
         2        -0.0168        -1699.2
         2        -0.0165       -1860.53
         2        -0.0162       -2022.26
         2        -0.0159       -2185.47
         2        -0.0156       -2351.07
         2        -0.0153       -2519.87
         2         -0.015       -2692.63
         2        -0.0147       -2870.02
         2        -0.0144       -3052.75
         2        -0.0141       -3241.46
         2        -0.0138       -3436.86
         2        -0.0135       -3639.62
         2        -0.0132       -3850.48
         2        -0.0129       -4070.21
