particle,length
413,0.166146
414,0.0147922
415,0.225801
416,0.157286
417,0.0153634
418,0.0246892
419,0.0151667
420,0.0263982
421,0.0172647
422,0.147409
423,0.0173534
424,0.0152269
425,0.0306043
426,0.0150374
427,0.015601
428,0.015886
429,0.0733169
430,0.0680232
431,0.0986931
432,0.0163463
433,0.0977428
434,0.0193372
435,0.0721325
436,0.0153541
437,0.0152973
438,0.0579959
439,0.0247826
440,0.0182043
441,0.0248806
442,0.275197
443,0.167884
444,0.018311
445,0.125934
446,0.0244096
447,0.0163826
448,0.146005
449,0.0147239
450,0.0784036
451,0.0161214
452,0.0680354
453,0.0260253
454,0.0680081
455,0.0145622
456,0.127426
457,0.0252666
458,0.0178162
459,0.0560642
460,0.118269
461,0.0662314
462,0.0587291
463,0.015766
464,0.0164501
465,0.0981932
466,0.0177788
467,0.0145243
468,0.0554917
469,0.0153451
470,0.0149126
471,0.0720632
472,0.0264935
473,0.0151949
474,0.0278596
475,0.0940493
476,0.0241474
477,0.0553485
478,0.0154475
479,0.0180383
480,0.0149515
481,0.0146925
482,0.0244266
483,0.0580695
484,0.0689171
485,0.0261858
486,0.0145996
487,0.0148883
488,0.0158712
489,0.0628192
490,0.0146011
491,0.0786722
492,0.09983
493,0.0284669
494,0.145588
495,0.0149572
496,0.015376
497,0.0150946
498,0.0997241
499,0.0270677
500,0.268733
501,0.0165265
502,0.0219351
503,0.015084
504,0.015187
505,0.068252
506,0.101855
507,0.01845
508,0.106458
509,0.150737
510,0.0152125
511,0.0256345
512,0.0150716
513,0.0153282
514,0.0245647
515,0.0977293
516,0.0175443
517,0.0151176
518,0.0148754
519,0.0148804
520,0.0150783
521,0.169422
522,0.014896
523,0.0297909
524,0.0148111
525,0.138445
526,0.0173997
527,0.0174353
528,0.0550356
529,0.0577528
530,0.227861
531,0.224224
532,0.0175599
533,0.0256391
534,0.0261416
535,0.0145774
536,0.113653
537,0.0260236
538,0.0763298
539,0.0663359
540,0.08853
541,0.0251728
542,0.0938803
543,0.0963643
544,0.0708072
545,0.0154178
546,0.0888116
547,0.0177225
548,0.21154
549,0.0249299
550,0.100344
551,0.0548961
552,0.101282
553,0.0221871
554,0.138494
555,0.0179818
556,0.0149997
