particle,length
412,0.0208574
413,0.0961906
414,0.0146873
415,0.057882
416,0.025754
417,0.141716
418,0.0185175
419,0.0968154
420,0.055363
421,0.0151879
422,0.0248409
423,0.028718
424,0.408749
425,0.0306953
426,0.0154221
427,0.0145063
428,0.0729581
429,0.0153326
430,0.151626
431,0.0703954
432,0.0151599
433,0.0241399
434,0.0174678
435,0.0965662
436,0.208624
437,0.0149453
438,0.0562035
439,0.0161442
440,0.0271038
441,0.146294
442,0.0257356
443,0.15847
444,0.0284385
445,0.0150081
446,0.0249572
447,0.014873
448,0.0155765
449,0.0158414
450,0.0161518
451,0.0147027
452,0.0151959
453,0.0852995
454,0.0150151
455,0.0184976
456,0.0158497
457,0.0656372
458,0.0547212
459,0.100532
460,0.024514
461,0.055667
462,0.0147726
463,0.0154202
464,0.0152652
465,0.0247525
466,0.0172565
467,0.0730313
468,0.0168628
469,0.0270421
470,0.056583
471,0.170457
472,0.102409
473,0.0310436
474,0.0154613
475,0.0155032
476,0.0281908
477,0.0152953
478,0.0241948
479,0.0198577
480,0.0145589
481,0.0166875
482,0.0831036
483,0.106042
484,0.0262569
485,0.0247778
486,0.055321
487,0.0571708
488,0.0145308
489,0.0284675
490,0.0147615
491,0.0259594
492,0.0152632
493,0.0148502
494,0.0241592
495,0.0180304
496,0.150512
497,0.0580901
498,0.272554
499,0.221557
500,0.0145051
501,0.282686
502,0.112647
503,0.325101
504,0.188358
505,0.0149871
506,0.124
507,0.0257038
508,0.0523565
509,0.0148791
510,0.0278566
511,0.0279666
512,0.0146168
513,0.0562352
514,0.0247514
515,0.0162274
516,0.019395
517,0.0555458
518,0.0251973
519,0.065371
520,0.0246984
521,0.0147918
522,0.070627
523,0.0689328
524,0.0163182
525,0.0633691
526,0.0283994
527,0.0166846
528,0.186756
529,0.0171494
530,0.0559533
531,0.0151508
532,0.017815
533,0.0249704
534,0.0262237
535,0.0975659
536,0.0247748
537,0.0264814
538,0.0991938
539,0.024105
540,0.0242471
541,0.0574476
542,0.0745646
543,0.0147372
544,0.0249161
545,0.027151
546,0.156942
547,0.0697374
548,0.0249394
549,0.0174736
550,0.018981
551,0.494099
552,0.0250459
553,0.0154185
554,0.0249274
555,0.264726
556,0.0260074
557,0.015293
558,0.016286
559,0.0160442
560,0.01747
561,0.0217135
562,0.0144898
563,0.0169998
564,0.0145409
565,0.0242906
566,0.1558
567,0.0158228
568,0.0145235
569,0.0200258
570,0.0250446
571,0.0784419
572,0.0180928
573,0.0797664
574,0.0158927
575,0.0727157
576,0.0148323
577,0.0157019
578,0.0153185
579,0.0162824
580,0.0246526
581,0.0245493
582,0.0149384
583,0.129735
584,0.0163667
585,0.0679069
586,0.0992418
587,0.0189323
588,0.0247327
589,0.0152166
590,0.0254441
591,0.0994159
592,0.0559218
593,0.147729
594,0.372145
595,0.0561466
596,0.118498
597,0.0247947
598,0.143988
599,0.149602
600,0.0150997
601,0.0276536
602,0.0274101
603,0.0580796
604,0.0146118
605,0.0150352
606,0.0695511
607,0.0597653
608,0.0243946
609,0.0276022
610,0.0147813
611,0.0575707
612,0.243282
613,0.0249059
614,0.0578622
615,0.0256591
616,0.0244774
617,0.0665104
618,0.102179
619,0.0147446
620,0.0157603
621,0.014799
622,0.0178522
623,0.0144613
624,0.0152368
625,0.0987953
626,0.0146129
627,0.0976607
628,0.0149216
629,0.0163403
630,0.0631626
631,0.172864
632,0.0583558
633,0.10084
634,0.173868
635,0.0151246
636,0.0147345
637,0.100329
638,0.0245416
639,0.0958906
640,0.0155177
641,0.0146351
642,0.0174107
643,0.0230886
644,0.0249527
645,0.0168148
646,0.108815
647,0.0151771
648,0.026324
649,0.148056
650,0.0246686
651,0.0706782
652,0.119231
653,0.015808
654,0.0652855
655,0.0252253
656,0.0147479
657,0.0153704
658,0.0159178
659,0.0260031
660,0.241569
661,0.0256338
662,0.0329325
663,0.0243394
664,0.016784
665,0.0173366
666,0.0322493
667,0.0186257
668,0.0175225
669,0.0157398
670,0.0191096
671,0.0155621
672,0.0145674
673,0.0734542
674,0.0243323
675,0.0152081
676,0.016275
677,0.0241055
678,0.194729
679,0.150527
680,0.0279795
681,0.0630699
682,0.145546
683,0.0661824
684,0.0149691
685,0.0148189
686,0.0280656
687,0.0255306
688,0.0144616
689,0.053169
690,0.015247
691,0.0619745
692,0.0273329
693,0.067304
694,0.0150631
695,0.0567377
696,0.0557571
697,0.0148587
698,0.0148903
699,0.29886
700,0.0673765
701,0.0210541
702,0.0146724
703,0.0145223
704,0.0163229
705,0.301471
706,0.0659215
707,0.0182059
708,0.0148997
709,0.0635521
710,0.0685927
711,0.116385
712,0.0247955
713,0.0215581
714,0.0663065
715,0.0145438
716,0.0158522
717,0.0692673
718,0.0244751
719,0.169083
720,0.0154278
721,0.0610633
722,0.22965
723,0.0723988
724,0.0152645
725,0.145239
726,0.0145851
727,0.0678103
728,0.115402
729,0.0152338
730,0.0145163
731,0.0573163
732,0.0943612
733,0.0260741
734,0.0563435
735,0.0243338
736,0.0244733
737,0.0144915
738,0.0157697
739,0.015806
740,0.0258017
741,0.1106
742,0.0151666
743,0.0269549
744,0.0975274
745,0.026985
746,0.0160051
747,0.158162
748,0.0145068
749,0.0162032
750,0.0164363
751,0.0219265
752,0.0181318
753,0.0849634
754,0.015367
755,0.0160689
756,0.0156678
757,0.0176983
758,0.0560265
759,0.0678067
760,0.0666757
761,0.0151196
762,0.0685522
763,0.0998766
764,0.0260241
765,0.0256405
766,0.0266041
767,0.0751277
768,0.0278114
769,0.144559
770,0.0145657
771,0.0151688
772,0.0248353
773,0.366021
774,0.0588592
775,0.110217
776,0.0252707
777,0.015286
778,0.0660481
779,0.0145975
780,0.0717494
781,0.0147064
782,0.0144714
783,0.148533
784,0.0581147
785,0.0186878
786,0.0150438
787,0.0155484
788,0.0575386
789,0.0632511
790,0.0260145
791,0.0160839
792,0.0151103
793,0.0165754
794,0.151206
795,0.160621
796,0.0168381
797,0.0266665
798,0.0280027
799,0.103983
800,0.138999
801,0.0149504
802,0.0254273
803,0.06343
804,0.0266958
805,0.0275957
806,0.209287
807,0.121894
808,0.0147659
809,0.212619
810,0.0632194
811,0.0145317
812,0.0177903
813,0.149573
814,0.0254435
815,0.025241
816,0.0148943
817,0.143292
818,0.0154862
819,0.0151185
820,0.261678
821,0.11037
822,0.0254705
823,0.179464
824,0.0155404
825,0.0253909
826,0.081343
827,0.0661375
