# iteration    r (m)    potential (V)
         2        -0.0258       -441.065
         2        -0.0255       -449.615
         2        -0.0252       -458.777
         2        -0.0249       -468.585
         2        -0.0246       -479.069
         2        -0.0243       -490.265
         2         -0.024       -502.211
         2        -0.0237       -514.948
         2        -0.0234       -528.519
         2        -0.0231       -542.971
         2        -0.0228       -558.354
         2        -0.0225        -574.72
         2        -0.0222       -592.127
         2        -0.0219       -610.633
         2        -0.0216       -630.301
         2        -0.0213         -651.2
         2         -0.021       -673.399
         2        -0.0207       -696.973
         2        -0.0204       -722.001
         2        -0.0201       -748.564
         2        -0.0198       -776.749
         2        -0.0195       -806.645
         2        -0.0192       -838.345
         2        -0.0189       -871.946
         2        -0.0186        -907.55
         2        -0.0183       -945.261
         2         -0.018       -985.186
         2        -0.0177       -1027.44
         2        -0.0174       -1072.14
         2        -0.0171        -1119.4
         2        -0.0168       -1169.36
         2        -0.0165       -1222.14
         2        -0.0162       -1277.88
         2        -0.0159       -1336.73
         2        -0.0156       -1398.84
         2        -0.0153       -1464.38
         2         -0.015       -1533.51
         2        -0.0147       -1606.43
         2        -0.0144       -1683.34
         2        -0.0141       -1764.44
         2        -0.0138       -1849.98
         2        -0.0135       -1940.21
         2        -0.0132       -2035.41
         2        -0.0129       -2135.89
         2        -0.0126       -2241.98
         2        -0.0123       -2354.08
         2         -0.012       -2472.59
         2        -0.0117       -2597.98
         2        -0.0114       -2730.78
         2        -0.0111       -2871.59
         2        -0.0108       -3021.06
         2        -0.0105       -3179.96
         2        -0.0102       -3349.16
         2        -0.0099       -3529.64
         2        -0.0096       -3722.55
         2        -0.0093       -3929.21
         2         -0.009       -4151.19
         2        -0.0087       -4390.32
         2        -0.0084       -4648.77
         2        -0.0081       -4929.17
         2        -0.0078       -5234.73
         2        -0.0075       -5569.38
         2        -0.0072        -5938.1
         2        -0.0069        -6347.3
         2        -0.0066       -6805.37
         2        -0.0063       -7323.81
         2         -0.006       -7918.96
         2        -0.0057          -8616
         2        -0.0054       -9460.01
         2        -0.0051         -10000
         2        -0.0048         -10000
         2        -0.0045         -10000
         2        -0.0042       -9977.87
         2        -0.0039        -9832.3
         2        -0.0036       -9708.22
         2        -0.0033       -9605.58
         2         -0.003       -9523.05
         2        -0.0027       -9458.51
         2        -0.0024       -9409.52
         2        -0.0021       -9373.66
         2        -0.0018       -9348.59
         2        -0.0015       -9332.09
         2        -0.0012       -9322.09
         2        -0.0009       -9316.73
         2        -0.0006       -9314.36
         2        -0.0003       -9313.65
         2              0        -9313.6
         2         0.0003       -9313.64
         2         0.0006        -9313.6
         2         0.0009       -9313.79
         2         0.0012       -9314.92
         2         0.0015       -9318.13
         2         0.0018       -9324.84
         2         0.0021       -9336.78
         2         0.0024       -9355.89
         2         0.0027       -9384.28
         2          0.003       -9424.22
         2         0.0033       -9478.07
         2         0.0036       -9548.27
         2         0.0039       -9637.17
         2         0.0042        -9746.7
         2         0.0045       -9877.78
         2         0.0048         -10000
         2         0.0051         -10000
         2         0.0054         -10000
         2         0.0057         -10000
         2          0.006       -9164.58
         2         0.0063       -8374.82
         2         0.0066       -7713.96
         2         0.0069       -7145.81
         2         0.0072       -6648.59
         2         0.0075       -6207.68
         2         0.0078        -5812.7
         2         0.0081       -5455.94
         2         0.0084        -5131.5
         2         0.0087       -4834.77
         2          0.009       -4562.07
         2         0.0093        -4310.4
         2         0.0096       -4077.29
         2         0.0099       -3860.69
         2         0.0102       -3658.86
         2         0.0105       -3470.33
         2         0.0108       -3293.83
         2         0.0111       -3128.27
         2         0.0114       -2972.71
         2         0.0117       -2826.32
         2          0.012       -2688.37
         2         0.0123       -2558.22
         2         0.0126        -2435.3
         2         0.0129       -2319.11
         2         0.0132       -2209.19
         2         0.0135       -2105.14
         2         0.0138        -2006.6
         2         0.0141       -1913.24
         2         0.0144       -1824.76
         2         0.0147       -1740.89
         2          0.015       -1661.37
         2         0.0153       -1585.99
         2         0.0156       -1514.53
         2         0.0159        -1446.8
         2         0.0162       -1382.62
         2         0.0165       -1321.81
         2         0.0168       -1264.21
         2         0.0171       -1209.69
         2         0.0174       -1158.08
         2         0.0177       -1109.26
         2          0.018        -1063.1
         2         0.0183       -1019.48
         2         0.0186       -978.262
         2         0.0189       -939.345
         2         0.0192       -902.615
         2         0.0195       -867.964
         2         0.0198        -835.29
         2         0.0201       -804.493
         2         0.0204       -775.476
         2         0.0207       -748.149
         2          0.021       -722.423
         2         0.0213       -698.214
         2         0.0216       -675.441
         2         0.0219       -654.027
         2         0.0222         -633.9
         2         0.0225        -614.99
         2         0.0228       -597.232
         2         0.0231       -580.564
         2         0.0234       -564.928
         2         0.0237       -550.268
         2          0.024       -536.533
         2         0.0243       -523.674
         2         0.0246       -511.647
         2         0.0249       -500.409
         2         0.0252       -489.922
         2         0.0255       -480.148
         2         0.0258       -471.054
         2         0.0261        -462.61
         2         0.0264       -454.786
         2         0.0267       -447.556
         2          0.027       -440.897
         2         0.0273       -434.786
         2         0.0276       -429.203
         2         0.0279       -424.129
         2         0.0282       -419.549
         2         0.0285       -415.448
         2         0.0288       -411.812
         2         0.0291       -408.629
         2         0.0294       -405.891
         2         0.0297       -403.588
         2           0.03       -401.713
         2         0.0303       -400.261
         2         0.0306       -399.226
         2         0.0309       -398.607
         2         0.0312       -398.401
