# iteration    r (m)    potential (V)
         1         0.0384        -104.37
         1         0.0387       -102.338
         1          0.039        -100.38
         1         0.0393       -98.4945
         1         0.0396       -96.6813
         1         0.0399       -94.9398
         1         0.0402       -93.2696
         1         0.0405         -91.67
         1         0.0408       -90.1403
         1         0.0411       -88.6799
         1         0.0414       -87.2883
         1         0.0417       -85.9648
         1          0.042       -84.7089
         1         0.0423       -83.5201
         1         0.0426        -82.398
         1         0.0429       -81.3421
         1         0.0432       -80.3521
         1         0.0435       -79.4276
         1         0.0438       -78.5683
         1         0.0441        -77.774
         1         0.0444       -77.0444
         1         0.0447       -76.3791
         1          0.045        -75.778
         1         0.0453       -75.2407
         1         0.0456       -74.7672
         1         0.0459       -74.3571
         1         0.0462       -74.0103
         1         0.0465       -73.7267
         1         0.0468       -73.5062
         1         0.0471       -73.3487
         1         0.0474       -73.2542
         1         0.0477       -73.2226
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03              0
         2        -0.0297       -6.56943
         2        -0.0294       -19.9996
         2        -0.0291       -33.4561
         2        -0.0288       -46.8897
         2        -0.0285       -60.2764
         2        -0.0282       -73.5967
         2        -0.0279       -86.8317
         2        -0.0276         -99.96
         2        -0.0273       -112.955
         2         -0.027       -125.789
         2        -0.0267       -138.432
         2        -0.0264        -150.85
         2        -0.0261       -163.005
         2        -0.0258       -174.852
         2        -0.0255       -186.337
         2        -0.0252        -197.39
         2        -0.0249        -207.92
         2        -0.0246       -217.819
         2        -0.0243       -226.976
         2         -0.024       -235.256
         2        -0.0237       -242.485
         2        -0.0234       -248.437
         2        -0.0231        -252.83
         2        -0.0228       -255.301
         2        -0.0225       -255.387
         2        -0.0222       -252.473
         2        -0.0219       -245.692
         2        -0.0216       -233.851
         2        -0.0213       -215.149
         2         -0.021       -186.805
         2        -0.0207       -144.188
         2        -0.0204        -79.015
         2        -0.0201              0
         2        -0.0198              0
         2        -0.0195              0
         2        -0.0192       -22.2004
         2        -0.0189       -220.314
         2        -0.0186       -371.425
         2        -0.0183       -497.599
         2         -0.018       -609.086
         2        -0.0177       -711.331
         2        -0.0174       -807.531
         2        -0.0171       -899.784
         2        -0.0168       -989.511
         2        -0.0165       -1077.78
         2        -0.0162       -1165.37
         2        -0.0159       -1252.91
         2        -0.0156       -1340.95
         2        -0.0153       -1429.95
         2         -0.015       -1520.33
         2        -0.0147        -1612.5
         2        -0.0144       -1706.81
         2        -0.0141       -1803.66
         2        -0.0138       -1903.39
         2        -0.0135       -2006.36
         2        -0.0132       -2112.92
         2        -0.0129       -2223.51
         2        -0.0126       -2338.51
         2        -0.0123       -2458.39
         2         -0.012       -2583.67
         2        -0.0117       -2714.84
         2        -0.0114       -2852.44
         2        -0.0111       -2997.15
         2        -0.0108       -3149.63
         2        -0.0105        -3310.7
         2        -0.0102       -3481.25
         2        -0.0099       -3662.29
         2        -0.0096       -3854.92
         2        -0.0093       -4060.49
         2         -0.009       -4280.58
         2        -0.0087          -4517
         2        -0.0084       -4771.87
         2        -0.0081       -5047.79
         2        -0.0078       -5347.91
         2        -0.0075       -5676.06
         2        -0.0072       -6037.11
         2        -0.0069        -6437.3
         2        -0.0066       -6884.85
         2        -0.0063       -7390.94
         2         -0.006       -7971.54
         2        -0.0057       -8651.14
         2        -0.0054       -9473.76
         2        -0.0051         -10000
         2        -0.0048         -10000
         2        -0.0045         -10000
         2        -0.0042       -9978.98
         2        -0.0039       -9840.76
         2        -0.0036       -9723.37
         2        -0.0033       -9626.84
         2         -0.003       -9549.91
         2        -0.0027       -9490.54
         2        -0.0024       -9446.39
         2        -0.0021       -9415.15
         2        -0.0018       -9394.46
         2        -0.0015        -9382.1
         2        -0.0012       -9376.04
         2        -0.0009       -9374.12
         2        -0.0006       -9374.81
         2        -0.0003       -9377.23
         2              0       -9378.69
         2         0.0003       -9378.68
         2         0.0006       -9377.83
         2         0.0009       -9375.93
         2         0.0012       -9374.14
         2         0.0015       -9374.11
         2         0.0018       -9377.43
         2         0.0021       -9385.67
         2         0.0024       -9400.65
         2         0.0027       -9424.77
         2          0.003        -9460.2
         2         0.0033       -9509.23
         2         0.0036       -9574.15
         2         0.0039       -9657.21
         2         0.0042       -9760.28
         2         0.0045        -9884.2
         2         0.0048         -10000
         2         0.0051         -10000
         2         0.0054         -10000
         2         0.0057         -10000
         2          0.006          -9190
         2         0.0063       -8424.15
         2         0.0066       -7783.13
         2         0.0069       -7231.79
         2         0.0072       -6749.03
         2         0.0075       -6320.65
         2         0.0078       -5936.57
         2         0.0081       -5589.31
         2         0.0084       -5273.15
         2         0.0087       -4983.58
         2          0.009       -4717.03
         2         0.0093       -4470.56
         2         0.0096       -4241.75
         2         0.0099       -4028.58
         2         0.0102       -3829.32
         2         0.0105       -3642.49
         2         0.0108       -3466.85
         2         0.0111       -3301.31
         2         0.0114        -3144.9
         2         0.0117       -2996.76
         2          0.012       -2856.15
         2         0.0123       -2722.37
         2         0.0126       -2594.82
         2         0.0129       -2472.89
         2         0.0132        -2356.1
         2         0.0135       -2243.97
         2         0.0138       -2136.05
         2         0.0141       -2031.94
         2         0.0144       -1931.22
         2         0.0147       -1833.54
         2          0.015       -1738.51
         2         0.0153       -1645.75
         2         0.0156       -1554.83
         2         0.0159       -1465.33
         2         0.0162       -1376.84
         2         0.0165       -1288.89
         2         0.0168       -1200.95
         2         0.0171       -1112.37
         2         0.0174       -1022.34
         2         0.0177       -929.916
         2          0.018       -833.758
         2         0.0183       -732.037
         2         0.0186        -622.05
         2         0.0189       -499.415
         2         0.0192       -356.608
         2         0.0195       -179.092
         2         0.0198              0
         2         0.0201              0
         2         0.0204              0
         2         0.0207       -20.9569
         2          0.021       -148.128
         2         0.0213       -232.865
         2         0.0216       -292.725
         2         0.0219       -336.667
         2         0.0222       -369.733
         2         0.0225       -394.978
         2         0.0228       -414.388
         2         0.0231        -429.32
