particle,length
414,0.0156457
415,0.0146979
416,0.0152493
417,0.0592001
418,0.0190763
419,0.0243513
420,0.116342
421,0.0177127
422,0.0964368
423,0.0149101
424,0.0250311
425,0.0152386
426,0.0145375
427,0.0150787
428,0.0145002
429,0.0174214
430,0.0256471
431,0.0275666
432,0.0146243
433,0.0605301
434,0.0722193
435,0.0319152
436,0.0857978
437,0.0154306
438,0.026969
439,0.113587
440,0.0241726
441,0.0147708
442,0.0153726
443,0.0635588
444,0.0145076
445,0.0248693
446,0.0154253
447,0.172952
448,0.108238
449,0.27131
450,0.0274143
451,0.0910313
452,0.0177241
453,0.0663858
454,0.0150487
455,0.0273559
456,0.0151886
457,0.0245114
458,0.0152141
459,0.0155097
460,0.0275692
461,0.0160615
462,0.0154911
463,0.0146907
464,0.0646394
465,0.0232703
466,0.0671406
467,0.0790657
468,0.0145849
469,0.0155355
470,0.0169593
471,0.0217398
472,0.0148792
473,0.0254206
474,0.0145475
475,0.029074
476,0.0231674
477,0.0244151
478,0.0702746
479,0.211016
480,0.0145939
481,0.0257805
482,0.0152161
483,0.0246238
484,0.108623
485,0.015577
486,0.0146442
487,0.130404
488,0.026385
489,0.060661
490,0.0159532
491,0.0146306
492,0.0687943
493,0.0702528
494,0.0812657
495,0.0217941
496,0.024102
497,0.0148933
498,0.110016
499,0.0663894
500,0.0248339
501,0.0242089
502,0.119885
503,0.0749803
504,0.014517
505,0.016032
506,0.016411
507,0.0717872
508,0.0960247
509,0.027724
510,0.105816
511,0.0165698
512,0.121168
513,0.0251119
514,0.014789
515,0.0148596
516,0.0147045
517,0.0233359
518,0.0146174
519,0.107662
520,0.0245484
521,0.0181148
522,0.091289
523,0.024543
524,0.015541
525,0.0145198
526,0.0241283
527,0.0257371
528,0.0578545
529,0.0145043
530,0.0147443
531,0.0869417
532,0.014804
533,0.0148395
534,0.0154189
535,0.0155785
536,0.0248813
537,0.099558
538,0.143423
539,0.0244011
540,0.0255093
541,0.0248443
542,0.0149461
543,0.194495
544,0.0849492
545,0.014617
546,0.0654271
547,0.0157995
548,0.141383
549,0.0171663
550,0.0151829
551,0.0174103
552,0.059244
553,0.0963197
554,0.0251834
555,0.550317
556,0.0268871
557,0.016946
558,0.0151963
559,0.0146241
560,0.0266007
561,0.0255508
562,0.078245
563,0.62739
564,0.070579
565,0.024896
566,0.0244183
567,0.0157256
568,0.277903
569,0.024437
570,0.144742
571,0.0149742
572,0.140218
573,0.0155474
574,0.0664703
575,0.0700702
576,0.0993801
577,0.015623
578,0.0246455
579,0.0578362
580,0.0145115
581,0.358198
582,0.0249973
583,0.150181
584,0.055103
585,0.015144
586,0.0239033
587,0.0645868
588,0.0755713
589,0.163313
590,0.0246272
591,0.0241457
592,0.0169104
593,0.0256017
594,0.0618841
595,0.0209733
596,0.0179677
597,0.0562786
598,0.0976745
599,0.0676013
600,0.0750119
601,0.0254183
602,0.071988
603,0.0146447
604,0.0546055
605,0.103664
606,0.0273899
607,0.120877
608,0.0805791
609,0.0738059
610,0.138758
611,0.0151221
612,0.0324978
613,0.016098
614,0.0249995
615,0.0573903
616,0.0649809
617,0.096386
618,0.195799
619,0.0148008
620,0.0146374
621,0.0721949
622,0.0162495
623,0.551758
624,0.120461
625,0.0571661
626,0.101129
627,0.0253346
628,0.0161271
629,0.0949583
630,0.0286952
631,0.104205
632,0.0228656
633,0.0177364
634,0.0156421
635,0.0663496
636,0.0167581
637,0.0151716
638,0.0963936
639,0.0258761
640,0.0180392
641,0.0159538
642,0.0686029
643,0.0187032
644,0.0596661
645,0.0278716
646,0.0164809
647,0.107389
648,0.0683267
649,0.164063
650,0.10975
651,0.0166301
652,0.0145773
653,0.0147678
654,0.112199
655,0.025643
656,0.592228
657,0.017395
658,0.0681786
659,0.0247573
660,0.0163374
661,0.0668505
662,0.0617726
663,0.0245994
664,0.0151393
665,0.0253218
666,0.0166269
667,0.0174055
668,0.0147513
669,0.016012
670,0.0255441
671,0.0156095
672,0.0268511
673,0.0148854
674,0.0195851
675,0.144269
676,0.0153137
677,0.0620117
678,0.0657657
679,0.0322832
680,0.0676923
681,0.0145089
682,0.0408204
683,0.551388
684,0.208765
685,0.0158011
686,0.0155307
687,0.0148427
688,0.0209905
689,0.014594
690,0.0567536
691,0.0273758
692,0.0147963
693,0.0679746
694,0.0269826
695,0.016138
696,0.0149944
697,0.024318
698,0.0555418
699,0.016344
700,0.0253753
701,0.0173026
702,0.162107
703,0.0145214
704,0.0146788
705,0.0150364
706,0.0146485
707,0.0146044
708,0.0148874
709,0.0254621
710,0.0252655
711,0.0293384
712,0.0150718
713,0.0283345
714,0.0664479
715,0.0268879
716,0.0154535
717,0.0146954
718,0.0247447
719,0.0266675
720,0.0150552
721,0.0145794
722,0.0160854
723,0.0255336
724,0.124693
725,0.139154
726,0.0150335
727,0.0618743
728,0.0246917
729,0.0151875
730,0.066438
731,0.0160824
732,0.015611
733,0.0734872
734,0.0171751
735,0.0883344
736,0.014769
737,0.154929
738,0.0279945
739,0.0158323
740,0.0244283
741,0.0242102
742,0.0553016
743,0.0770226
744,0.0162653
745,0.117941
746,0.104706
747,0.0968568
748,0.187328
749,0.0151791
750,0.0636925
751,0.128153
752,0.0147483
753,0.0148961
754,0.0164688
755,0.109694
756,0.0144594
757,0.0173616
758,0.0161021
759,0.110088
760,0.0728261
761,0.0575755
762,0.0704785
763,0.0146167
764,0.0751639
765,0.412511
766,0.0145109
767,0.0161989
768,0.0182037
769,0.0156885
770,0.0147703
771,0.131566
772,0.0247791
773,0.016436
774,0.0553987
775,0.0267223
776,0.0245291
777,0.0239819
778,0.0626907
779,0.0280191
780,0.018112
781,0.0154128
782,0.0155736
783,0.0667833
784,0.0151915
785,0.0579799
786,0.0150578
787,0.0174527
788,0.015141
789,0.0146339
790,0.0157889
791,0.0651019
792,0.0666907
793,0.260903
794,0.164137
795,0.0180187
796,0.0150099
797,0.0249155
798,0.0152235
799,0.016911
800,0.0194826
801,0.230854
802,0.0639664
803,0.0243132
804,0.139888
805,0.0691935
806,0.0210484
807,0.0684747
808,0.0578996
809,0.0165302
810,0.0245096
811,0.0250365
812,0.015037
813,0.0155426
814,0.093138
815,0.0160929
816,0.0184734
817,0.0146564
818,0.0161471
819,0.0977276
820,0.0159606
821,0.0160861
822,0.0250032
823,0.191146
824,0.0243581
825,0.015796
826,0.234036
827,0.0600055
828,0.134207
829,0.0164672
830,0.0250057
831,0.066089
832,0.0765279
833,0.0697371
834,0.0153357
835,0.0268379
836,0.106888
837,0.0253088
838,0.0152546
839,0.0151085
840,0.0182923
841,0.0807174
842,0.0150601
843,0.0151816
844,0.0147976
845,0.0170839
846,0.0169402
847,0.0224223
848,0.014486
